Notice Date,Date Received,Eviction Category,Cause,Address,City,Zip,Bedroom,Notice Type,Apn,Council District,Rent Owed
2/9/23,2/21/23,At-Fault,Non-payment of rent,14125 Garber St,Arleta,91331,,3 Day,2642002018,6,"$12,701.70 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,14101 Garber St,Arleta,91331,,3 Day,2642002014,6,"$17,886.60 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,14249 Hoyt St,Arleta,91331,,3 Day,2644002011,6,"$6,218.17 "
2/9/23,2/21/23,At-Fault,Non-payment of rent,13940 Nordhoff St,Arleta,91331,,3 Day,2642032007,6,"$7,321.87 "
2/28/23,2/28/23,At-Fault,Non-payment of rent,14265 Van Nuys Blvd,Arleta,91331,,30 Day,2647023010,6,"$1,525.00 "
2/28/23,2/28/23,At-Fault,Non-payment of rent,14265 Van Nuys Blvd,Arleta,91331,,30 Day,2647023010,6,"$1,250.00 "
2/28/23,2/28/23,At-Fault,Non-payment of rent,14265 Van Nuys Blvd,Arleta,91331,,30 Day,2647023010,6,"$1,430.00 "
2/28/23,2/28/23,At-Fault,Non-payment of rent,14265 Van Nuys Blvd,Arleta,91331,,30 Day,2647023010,6,"$1,525.00 "
2/28/23,2/28/23,At-Fault,Non-payment of rent,14265 Van Nuys Blvd,Arleta,91331,,30 Day,2647023010,6,"$1,250.00 "
2/28/23,2/28/23,At-Fault,Non-payment of rent,14265 Van Nuys Blvd,Arleta,91331,,30 Day,2647023010,6,"$1,600.00 "
2/28/23,2/28/23,At-Fault,Non-payment of rent,14265 Van Nuys Blvd,Arleta,91331,,30 Day,2647023010,6,"$1,250.00 "
2/28/23,2/28/23,At-Fault,Non-payment of rent,14265 Van Nuys Blvd,Arleta,91331,,30 Day,2647023010,6,"$1,525.00 "
4/7/23,4/10/23,At-Fault,"Non-payment of rent, Violation of the rental agreement or lease, Disorderly behavior/disturbing the peace (Nuisance)",13547 Osborne St,Arleta,91331,4,30 Day,2621021004,6,$980.00 
4/13/23,4/17/23,At-Fault,Non-payment of rent,14249 Hoyt St,Arleta,91331,3,3 Day,2644002011,6,"$3,081.00 "
4/20/23,4/20/23,At-Fault,Criminal activity,13628 Wingo St,Arleta,91331,3,3 Day,2625029005,6,$0.00 
4/24/23,4/24/23,At-Fault,Non-payment of rent,14170 Remington St,Arleta,91331,4,3 Day,2644012019,6,"$10,000.00 "
5/3/23,5/5/23,At-Fault,Non-payment of rent,8770 Woodman Ave,Arleta,91331,,3 Day,2640018015,6,"$1,900.00 "
5/3/23,5/5/23,At-Fault,Non-payment of rent,8734-38 Woodman Ave,Arleta,91331,1,3 Day,2640018030,6,"$2,094.00 "
4/30/23,5/5/23,At-Fault,Criminal activity,13547 Osborne St,Arleta,91331,,30 Day,2621021004,6,$0.00 
5/9/23,5/10/23,At-Fault,Non-payment of rent,8825 Woodman Ave,Arleta,91331,1,3 Day,2639038039,6,"$1,900.00 "
5/9/23,5/10/23,At-Fault,Non-payment of rent,8825 Woodman Ave,Arleta,91331,2,3 Day,2639038039,6,"$1,900.00 "
5/12/23,5/16/23,At-Fault,"Non-payment of rent, Violation of the rental agreement or lease",14101 Garber St,Arleta,91331,3,3 Day,2642002014,6,"$16,490.60 "
5/12/23,5/16/23,At-Fault,Non-payment of rent,13940 Nordhoff St,Arleta,91331,4,3 Day,2642032007,6,"$10,361.87 "
6/7/23,6/7/23,At-Fault,Non-payment of rent,8811 N WOODMAN AVE,Arleta,91331,1,3 Day,2639038039,6,"$1,324.00 "
6/7/23,6/7/23,At-Fault,Non-payment of rent,8825 N WOODMAN AVE,Arleta,91331,1,3 Day,2639038039,6,"$1,900.00 "
6/6/23,6/9/23,At-Fault,Non-payment of rent,8635 N SNOWDEN AVE,Arleta,91331,0,3 Day,2640019009,6,"$2,201.82 "
6/13/23,6/13/23,At-Fault,Non-payment of rent,8825 N WOODMAN AVE,Arleta,91331,2,3 Day,2639038039,6,"$1,846.00 "
6/13/23,6/13/23,At-Fault,Non-payment of rent,8825 N WOODMAN AVE,Arleta,91331,2,3 Day,2639038039,6,"$1,900.00 "
6/23/23,6/25/23,At-Fault,Non-payment of rent,8635 N SNOWDEN AVE,Arleta,91331,1,3 Day,2640019009,6,"$2,192.94 "
7/20/23,7/21/23,At-Fault,Non-payment of rent,8635 N SNOWDEN AVE,Arleta,91331,1,3 Day,2640019009,6,"$1,299.48 "
9/1/23,9/28/23,At-Fault,Non-payment of rent,8825 N WOODMAN AVE,Arleta,91331,2,3 Day,2639038036,6,"$1,846.00 "
9/1/23,10/12/23,At-Fault,Non-payment of rent,8825 N WOODMAN AVE,Arleta,91331,2,3 Day,2639038036,6,"$3,692.00 "
11/3/23,11/3/23,At-Fault,Non-payment of rent,14060 W VAN NUYS BLVD,Arleta,91331,1,3 Day,2645014047,6,"$3,233.00 "
12/8/23,12/8/23,At-Fault,Non-payment of rent,8635 N SNOWDEN AVE,Arleta,91331,1,3 Day,2640019009,6,"$2,197.92 "
2/1/23,2/23/23,At-Fault,Non-payment of rent,10078 Westwanda Dr,Beverly Hills,90210,3,3 Day,4383025004,5,"$23,000.00 "
4/13/23,4/14/23,At-Fault,Non-payment of rent,400 N Oakhurst Dr,Beverly Hills,90210,3,3 Day,4335006035,5,"$3,270.00 "
7/7/23,7/10/23,At-Fault,Non-payment of rent,412 N OAKHURST DR,Beverly Hills,90210,2,3 Day,4335006044,5,"$2,535.00 "
11/10/23,11/14/23,At-Fault,Violation of the rental agreement or lease,320 N OAKHURST DR,Beverly Hills,90210,2,3 Day,4335015005,5,$0.00 
2/7/23,2/8/23,At-Fault,Non-payment of rent,21050 Vanowen Street,Canoga Park,91303,,3 Day,2148029030,3,"$2,375.00 "
2/7/23,2/8/23,At-Fault,Non-payment of rent,21050 Vanowen Street,Canoga Park,91303,,3 Day,2148029030,3,"$3,125.00 "
2/7/23,2/8/23,At-Fault,Non-payment of rent,21050 Vanowen Street,Canoga Park,91303,,3 Day,2148029030,3,"$2,190.00 "
2/7/23,2/8/23,At-Fault,Non-payment of rent,21050 Vanowen Street,Canoga Park,91303,,3 Day,2148029030,3,"$2,417.00 "
2/7/23,2/8/23,At-Fault,Non-payment of rent,21050 Vanowen Street,Canoga Park,91303,,3 Day,2148029030,3,"$2,290.00 "
2/7/23,2/8/23,At-Fault,Non-payment of rent,21050 Vanowen Street,Canoga Park,91303,,3 Day,2148029030,3,"$2,015.00 "
2/8/23,2/8/23,At-Fault,Non-payment of rent,21001 Rosscoe Blvd,Canoga Park,91304,,3 Day,2779009026,3,"$1,398.35 "
2/8/23,2/8/23,At-Fault,Non-payment of rent,21001 Rosscoe Blvd,Canoga Park,91304,,3 Day,2779009026,3,"$1,472.28 "
2/8/23,2/8/23,At-Fault,Non-payment of rent,21001 Rosscoe Blvd,Canoga Park,91304,,3 Day,2779009026,3,"$1,255.97 "
2/8/23,2/8/23,At-Fault,Non-payment of rent,21001 Rosscoe Blvd,Canoga Park,91304,,3 Day,2779009026,3,"$1,398.35 "
2/8/23,2/8/23,At-Fault,Non-payment of rent,21725 Lanark St,Canoga Park,91304,,3 Day,2110001033,3,"$1,724.50 "
2/8/23,2/8/23,At-Fault,Non-payment of rent,21725 Lanark St,Canoga Park,91304,,3 Day,2110001033,3,"$1,281.40 "
2/8/23,2/8/23,At-Fault,Non-payment of rent,21725 Lanark St,Canoga Park,91304,,3 Day,2110001033,3,"$1,047.50 "
2/7/23,2/8/23,At-Fault,Non-payment of rent,21050 Vanowen Street,Canoga Park,91303,,3 Day,2148029030,3,"$3,070.00 "
2/7/23,2/8/23,At-Fault,Non-payment of rent,21050 Vanowen Street,Canoga Park,91303,,3 Day,2148029030,3,"$2,870.00 "
2/7/23,2/8/23,At-Fault,Non-payment of rent,21050 Vanowen Street,Canoga Park,91303,,3 Day,2148029030,3,"$4,052.00 "
