X,Y,OBJECTID,LOCAL_GOVERNMENT,CSCPORTAL,NAME,SWIS,COUNTY,MUNI_TYPE,STATUS_AS,DATE_ADOPT
-74.768136878,41.71616378,1,Sullivan County,https://climatesmart.ny.gov/,Sullivan,480000,Sullivan,County,Bronze Certified,2/11/2010
-76.473769568,42.4518521640001,2,Tompkins County,https://climatesmart.ny.gov/,Tompkins,500000,Tompkins,County,Silver Certified,4/21/2009
-74.258327127,41.8878549770001,3,Ulster County,https://climatesmart.ny.gov/,Ulster,510000,Ulster,County,Silver Certified,8/16/2011
-73.845943618,43.560947259,4,Warren County,https://climatesmart.ny.gov/,Warren,520000,Warren,County,Bronze Certified,6/19/2019
-73.7553420579999,41.164295871,5,Westchester County,https://climatesmart.ny.gov/,Westchester,550000,Westchester,County,Bronze Certified,12/14/2015
-73.973690378,42.6001367330001,6,Albany County,https://climatesmart.ny.gov/,Albany,010000,Albany,County,Bronze Certified,7/13/2009
-75.742708227,42.1237902680001,7,Broome County,https://climatesmart.ny.gov/,Broome,030000,Broome,County,Bronze Certified,6/20/2019
-76.5538715439999,42.916230591,8,Cayuga County,https://climatesmart.ny.gov/,Cayuga,050000,Cayuga,County,Registered,3/27/2018
-76.760037841,42.141342659,9,Chemung County,https://climatesmart.ny.gov/,Chemung,070000,Chemung,County,Bronze Certified,6/14/2021
-75.6115766039999,42.493330761,10,Chenango County,https://climatesmart.ny.gov/,Chenango,080000,Chenango,County,Registered,3/8/2021
-76.07024999,42.5948889360001,11,Cortland County,https://climatesmart.ny.gov/,Cortland,110000,Cortland,County,Registered,2/4/2010
-74.9668433109999,42.198017968,12,Delaware County,https://climatesmart.ny.gov/,Delaware,120000,Delaware,County,Registered,10/17/2012
-73.7428993029999,41.7645637910001,13,Dutchess County,https://climatesmart.ny.gov/,Dutchess,130000,Dutchess,County,Bronze Certified,9/14/2009
-78.724394608,42.7545125440001,14,Erie County,https://climatesmart.ny.gov/,Erie,140000,Erie,County,Silver Certified,6/12/2014
-73.791523669,44.1069579690001,15,Essex County,https://climatesmart.ny.gov/,Essex,150000,Essex,County,Registered,7/6/2010
-74.497086294,43.6603479230001,16,Hamilton County,https://climatesmart.ny.gov/,Hamilton,200000,Hamilton,County,Registered,2/4/2010
-75.449071563,43.784468599,17,Lewis County,https://climatesmart.ny.gov/,Lewis,230000,Lewis,County,Bronze Certified,6/8/2009
-75.6693122029999,42.9127016690001,18,Madison County,https://climatesmart.ny.gov/,Madison,250000,Madison,County,Bronze Certified,2/10/2011
