"Label (Grouping)","Agoura Hills-Malibu CCD, Los Angeles County, California","Compton CCD, Los Angeles County, California","Downey-Norwalk CCD, Los Angeles County, California","East San Gabriel Valley CCD, Los Angeles County, California","Inglewood CCD, Los Angeles County, California","Long Beach-Lakewood CCD, Los Angeles County, California","Los Angeles CCD, Los Angeles County, California","Newhall CCD, Los Angeles County, California","North Antelope Valley CCD, Los Angeles County, California","Palos Verdes CCD, Los Angeles County, California","Pasadena CCD, Los Angeles County, California","San Fernando Valley CCD, Los Angeles County, California","Santa Monica CCD, Los Angeles County, California","South Antelope Valley CCD, Los Angeles County, California","South Bay Cities CCD, Los Angeles County, California","South Gate-East Los Angeles CCD, Los Angeles County, California","Southwest San Gabriel Valley CCD, Los Angeles County, California","Torrance CCD, Los Angeles County, California","Upper San Gabriel Valley CCD, Los Angeles County, California","Whittier CCD, Los Angeles County, California"
"Total:","63,824","342,576","414,144","935,875","369,694","569,100","2,504,251","254,330","190,690","91,365","268,040","1,771,545","89,736","208,925","138,043","501,237","318,982","145,438","323,899","316,911"
"    Population of one race:","61,566","329,444","396,721","896,743","353,352","538,809","2,388,343","242,158","180,697","86,936","255,177","1,689,418","85,751","198,371","130,777","482,890","309,018","137,420","312,588","303,713"
"        White alone","55,011","97,690","188,630","463,406","108,034","270,208","1,141,461","170,419","101,471","58,930","150,793","1,083,959","69,663","115,288","109,416","247,598","96,054","74,333","139,504","194,731"
"        Black or African American alone","1,060","83,196","30,038","32,888","112,047","71,671","325,291","11,302","34,623","2,462","26,180","66,574","3,526","25,250","2,708","9,397","3,002","3,955","7,131","4,573"
"        American Indian and Alaska Native alone","160","2,303","3,429","8,099","2,492","4,291","19,720","1,375","1,938","326","1,387","10,401","338","1,881","467","5,369","2,125","554","2,323","3,850"
"        Asian alone","3,876","31,327","67,634","187,157","28,855","76,485","294,427","27,181","7,367","20,126","49,664","190,342","8,053","8,549","13,596","3,866","157,728","50,240","101,514","18,878"
"        Native Hawaiian and Other Pacific Islander alone","66","3,834","1,865","1,487","2,546","6,195","3,960","391","427","214","241","2,026","124","418","332","318","248","530","320","552"
"        Some Other Race alone","1,393","111,094","105,125","203,706","99,378","109,959","603,484","31,490","34,871","4,878","26,912","336,116","4,047","46,985","4,258","216,342","49,861","7,808","61,796","81,129"
"    Two or More Races:","2,258","13,132","17,423","39,132","16,342","30,291","115,908","12,172","9,993","4,429","12,863","82,127","3,985","10,554","7,266","18,347","9,964","8,018","11,311","13,198"
"        Population of two races:","2,111","12,161","16,374","36,600","14,977","27,674","107,730","11,309","9,047","4,138","11,698","77,297","3,685","9,746","6,686","17,782","9,350","7,306","10,675","12,508"
"            White; Black or African American","272","939","1,247","2,736","1,694","3,677","10,298","1,377","1,889","337","1,572","6,998","550","1,446","650","457","364","503","686","767"
"            White; American Indian and Alaska Native","338","528","1,159","3,473","710","2,532","6,500","1,175","1,096","327","986","5,084","352","1,127","572","849","684","585","905","1,443"
"            White; Asian","997","1,031","2,338","7,723","1,623","6,113","22,903","3,869","1,318","2,187","4,373","24,127","1,792","1,417","3,637","483","2,317","3,755","2,511","1,863"
"            White; Native Hawaiian and Other Pacific Islander","37","205","283","482","194","759","1,482","205","131","130","130","1,886","81","158","204","60","109","195","125","218"
"            White; Some Other Race","258","5,772","7,507","14,637","6,236","8,094","44,293","3,208","2,580","660","2,394","27,787","487","3,632","942","13,396","3,561","1,059","4,336","6,260"
"            Black or African American; American Indian and Alaska Native","33","525","205","416","754","842","3,038","138","398","49","390","954","66","294","42","57","51","33","94","55"
"            Black or African American; Asian","51","455","369","661","684","957","2,719","249","225","92","382","1,447","76","249","141","42","225","179","177","105"
"            Black or African American; Native Hawaiian and Other Pacific Islander","3","163","75","63","178","334","527","6","74","6","32","164","15","58","14","23","4","29","10","21"
"            Black or African American; Some Other Race","18","978","741","1,138","1,299","1,225","5,418","225","625","36","438","2,031","47","551","75","621","247","118","272","332"
"            American Indian and Alaska Native; Asian","7","69","184","446","103","294","737","45","60","20","82","506","14","70","25","54","245","41","156","107"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0","14","17","37","17","37","90","1","7","0","5","50","0","19","2","13","7","1","16","35"
"            American Indian and Alaska Native; Some Other Race","9","274","380","900","348","412","2,964","126","171","41","146","1,476","13","189","30","818","223","29","296","368"
"            Asian; Native Hawaiian and Other Pacific Islander","32","339","478","1,134","311","788","1,459","208","82","100","265","1,078","61","107","162","23","349","297","357","197"
"            Asian; Some Other Race","45","658","1,190","2,447","602","1,279","4,214","426","288","141","460","3,178","109","340","163","594","864","442","663","585"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","11","211","201","307","224","331","1,088","51","103","12","43","531","22","89","27","292","100","40","71","152"
"        Population of three races:","133","823","944","2,304","1,242","2,376","7,247","776","868","271","1,027","4,380","267","732","517","541","517","624","577","641"
"            White; Black or African American; American Indian and Alaska Native","45","249","179","473","440","599","2,607","183","335","47","411","1,261","120","221","113","85","78","81","120","102"
"            White; Black or African American; Asian","23","57","85","194","82","284","688","91","94","24","96","438","30","77","57","20","44","48","51","37"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","0","14","13","24","23","63","77","9","24","1","7","56","1","17","5","3","1","8","5","2"
"            White; Black or African American; Some Other Race","5","44","84","162","99","153","487","47","66","14","56","325","10","71","25","50","18","31","39","67"
