OBJECTID,GEOID,County,City,TotalPop,LowInc_PEC,POC_PEC,VulAge_PEC,PWD_PEC,LEP_PEC,LVTA_PEC,HHCostB_PEC,NoHS_PEC,SinParHH_PEC,OthPriorityPops,YEAR,GlobalID,created_user,created_date,last_edited_user,last_edited_date
1,06071003506,San Bernardino,Rialto,5091,1,1,1,0,0,1,1,1,1,5,2023,{CC9957CA-9B42-4FF5-844D-A629186E593D},,,,
2,06111004200,Ventura,Port Hueneme,5204,1,1,1,1,1,1,1,1,0,6,2023,{D7652FC3-A748-4F74-BF79-74D88A86FDD4},,,,
3,06111003301,Ventura,Oxnard,2458,1,1,1,1,1,1,1,1,0,6,2023,{7D7C20CB-41E2-4334-ADE6-B385766E15A3},,,,
4,06071008404,San Bernardino,Redlands,3695,1,1,1,1,1,1,1,1,1,7,2023,{65735B86-AFC5-4534-BCEE-17C4E5D872C6},,,,
5,06071000404,San Bernardino,Chino,4622,0,1,1,1,1,1,1,0,0,5,2023,{316B9064-BC12-4E41-8366-1747E029B428},,,,
6,06111003608,Ventura,Oxnard,3629,0,1,1,1,1,1,1,1,0,6,2023,{85675F78-D120-4FD6-B51E-3B2CA4F09AE7},,,,
7,06111003700,Ventura,Oxnard,6209,1,1,1,0,1,1,1,1,0,5,2023,{27A589A1-7EDF-4A18-9CAE-AE6DF9BA69FC},,,,
8,06037310701,Los Angeles,Burbank,2286,1,0,1,1,1,0,0,0,1,4,2023,{4EA6E707-B722-4271-A1C1-E9BFA8E74E40},,,,
9,06111004000,Ventura,Oxnard,6570,1,1,1,1,1,1,1,1,0,6,2023,{30897952-023B-4084-83BB-D120C1684602},,,,
10,06111004101,Ventura,Oxnard,7237,1,1,1,0,1,1,1,1,0,5,2023,{9749049B-815B-414F-9399-B3221CD70653},,,,
11,06111004503,Ventura,Oxnard,5121,1,1,1,0,1,1,1,1,1,6,2023,{89529217-FDEA-46E9-A57D-16273B12BE4B},,,,
12,06111004504,Ventura,Oxnard,5931,1,1,1,1,1,1,1,1,1,7,2023,{9ECBA9A0-5434-4297-9619-467E370083A3},,,,
13,06111001511,Ventura,San Buenaventura,2440,1,1,1,0,1,1,1,0,0,4,2023,{10D98C13-E960-4F73-8746-EDD541175E60},,,,
14,06111003101,Ventura,Oxnard,4223,0,1,1,0,1,1,1,1,1,6,2023,{266235DF-BA5E-4F26-B45F-C7BF7DD72FDE},,,,
15,06111003902,Ventura,Oxnard,4162,1,1,1,0,0,1,1,1,1,5,2023,{174189DA-55BA-44E2-86B0-D6A0A7D6816B},,,,
16,06111001509,Ventura,San Buenaventura,4224,1,1,0,1,0,1,1,1,1,5,2023,{DD9F850E-D95D-463A-A9B6-76A3AA81AEC6},,,,
17,06071008100,San Bernardino,Redlands,3141,1,0,1,1,0,1,1,0,1,5,2023,{A5E7D24A-C156-46CE-9002-C3918804CEC2},,,,
18,06065044516,Riverside,Unincorporated,5814,1,0,1,1,1,0,1,1,0,5,2023,{FB6B9100-330C-4CFD-B643-F726C6364AFC},,,,
19,06111004507,Ventura,Oxnard,3182,1,1,1,1,1,1,1,1,1,7,2023,{B0C379FB-3EFD-400D-9348-599743F6E7C5},,,,
20,06111004508,Ventura,Oxnard,4092,1,1,1,0,1,1,1,1,1,6,2023,{05CF1C54-7882-4649-823C-01140D6DA2DE},,,,
21,06111002302,Ventura,San Buenaventura,4574,1,1,1,1,1,1,1,1,1,7,2023,{DC568DB2-BF3F-48C1-ACC9-0DEB416F1D80},,,,
22,06111002301,Ventura,San Buenaventura,1795,1,1,0,1,1,0,1,1,1,5,2023,{AA4C9328-8525-46CD-AA3E-C1DE56B7A841},,,,
23,06111005006,Ventura,Unincorporated,3041,1,1,0,0,1,0,1,1,0,3,2023,{5DE32B45-92AF-42FF-920F-BA2FFB225F90},,,,
24,06111009700,Ventura,Unincorporated,3110,1,1,0,1,1,0,1,1,0,4,2023,{F65A8492-3C59-44B2-90DC-2B29FE9C0DDB},,,,
25,06111009200,Ventura,Oxnard,5599,0,1,1,1,1,0,1,1,1,6,2023,{DB1CA4D3-1FBD-4204-A3EA-C93F0F9B7A98},,,,
26,06111003613,Ventura,Oxnard,5042,1,1,1,0,0,1,1,0,1,4,2023,{455512ED-9005-43C9-951E-9C475F9314DE},,,,
27,06111008602,Ventura,Oxnard,3012,1,1,0,0,1,1,0,1,1,4,2023,{0C278461-29C5-4971-9490-F19EE39B196A},,,,
28,06111003302,Ventura,Oxnard,6022,1,1,1,0,1,1,0,1,1,5,2023,{1E9C828F-AF44-4CF5-B57E-38326BF9A5C3},,,,
29,06111006102,Ventura,Thousand Oaks,4409,1,1,1,0,1,1,1,0,1,5,2023,{BD49F3B0-AEF3-42B2-9EE7-9ECDD00DA729},,,,
30,06111005005,Ventura,Unincorporated,4252,1,1,1,1,1,1,1,1,1,7,2023,{3909FCD1-27BA-433E-A0ED-732312331FB2},,,,
31,06111004704,Ventura,Unincorporated,1642,1,1,1,0,0,1,1,1,0,4,2023,{74D2A421-045B-4108-A6F7-F0D0ACE8751A},,,,
32,06111003901,Ventura,Oxnard,3119,1,1,1,0,1,1,1,1,1,6,2023,{3AF01D8D-A3F1-4072-9DAE-0FF6F56445D1},,,,
33,06025010102,Imperial,Unincorporated,3903,1,1,1,0,1,0,1,1,0,4,2023,{85FE65ED-B5B5-4CBE-A48E-9426C9D90AA5},,,,
34,06025010101,Imperial,Unincorporated,4207,1,1,0,1,0,1,1,1,0,4,2023,{30F753E4-2C3D-40FB-872D-17421B428254},,,,
35,06025012001,Imperial,Calexico,4774,1,1,1,1,1,1,1,1,0,6,2023,{288B88C5-21C2-49D1-8AA3-3E3E98D01349},,,,
36,06037320300,Los Angeles,San Fernando,6403,1,1,1,1,1,0,1,1,0,5,2023,{1BD2EAD8-348B-4F5F-AF5A-B19A3595C337},,,,
37,06037301502,Los Angeles,Glendale,7204,1,0,1,1,1,1,1,0,0,5,2023,{7C084CF6-6379-4073-A4C6-90D6BFE90734},,,,
38,06037301601,Los Angeles,Glendale,5496,1,0,1,1,1,0,1,1,0,5,2023,{4C362376-0977-4858-98ED-E2E11ED1C5A9},,,,
39,06037301702,Los Angeles,Glendale,6148,1,0,1,1,1,0,1,0,0,4,2023,{93B9A6A4-D074-4D38-8267-40D74441C6C9},,,,
40,06037302002,Los Angeles,Glendale,3935,1,0,1,1,1,0,1,0,0,4,2023,{9F89B801-489E-4793-8DB4-054520E81764},,,,
41,06111005002,Ventura,Unincorporated,3081,1,1,1,1,1,1,1,1,1,7,2023,{7B1B1F8F-BA4A-4E0A-9868-6586DCC89E88},,,,
42,06037237900,Los Angeles,Los Angeles,4473,1,1,1,1,0,0,1,0,1,4,2023,{A9315E3F-87CD-4595-AD2F-E9DBAAB77513},,,,
43,06037534700,Los Angeles,Unincorporated,4488,1,1,1,1,1,1,0,1,1,6,2023,{EF153FD1-229D-4297-809B-41D10A940078},,,,
44,06037228600,Los Angeles,Los Angeles,5226,1,1,1,0,1,0,1,1,1,5,2023,{491F5323-FD92-44B1-A794-0EDFB77A6CEC},,,,
45,06037222600,Los Angeles,Los Angeles,5525,1,1,0,0,1,0,1,1,1,4,2023,{E9BAD18C-7025-4C13-B2E3-BAD2549215E2},,,,
46,06037482502,Los Angeles,Rosemead,3196,1,1,1,0,1,0,1,1,1,5,2023,{040C2550-B93F-4320-A12A-EABD330E8D93},,,,
47,06037208904,Los Angeles,Los Angeles,4197,1,1,1,0,1,0,1,1,0,4,2023,{9E35E088-F7BB-4270-8D30-DD104D4BE103},,,,
48,06037302202,Los Angeles,Glendale,5401,1,0,1,1,1,0,1,1,0,5,2023,{170888D8-4B42-40EC-8D5E-AB781F4DEE0C},,,,
49,06037123602,Los Angeles,Los Angeles,3412,1,0,1,1,0,0,1,0,0,3,2023,{D1F708C8-9087-4B73-AD76-8BC1F4BC7D65},,,,
50,06037122410,Los Angeles,Los Angeles,3615,1,1,1,1,1,0,0,1,1,5,2023,{90AB8083-7B91-44C4-B408-620DA72048D1},,,,
51,06037131300,Los Angeles,Los Angeles,4560,1,1,1,0,0,0,1,1,1,4,2023,{E3AFFC94-17B6-46EE-BB0A-40813F9F8985},,,,
52,06037115302,Los Angeles,Los Angeles,3645,1,1,1,1,1,0,1,1,0,5,2023,{3A82636D-4998-4598-A459-36D9FF51AA13},,,,
53,06037910501,Los Angeles,Palmdale,5448,1,1,1,1,0,1,1,1,1,6,2023,{C08ADDE9-B6CB-46DE-BE16-1007C087A5D0},,,,
54,06037576402,Los Angeles,Long Beach,4760,1,1,1,1,1,0,1,1,1,6,2023,{3ECE5663-44C2-4ECC-ACF1-A7E3B062CC6B},,,,
55,06111005403,Ventura,Camarillo,2614,1,1,1,1,0,0,1,0,1,4,2023,{C2D47B3C-3FE9-4264-89DA-5B5A67A00B5C},,,,
56,06037204200,Los Angeles,Los Angeles,3459,1,1,1,0,1,0,1,1,1,5,2023,{4C8BE760-10A8-431E-9459-1A3DA93E7BBA},,,,
57,06037241300,Los Angeles,Los Angeles,2539,1,1,1,1,1,0,1,1,0,5,2023,{7D9FAF2C-2639-42FF-B842-79113A8594FD},,,,
58,06037228410,Los Angeles,Los Angeles,3388,1,1,1,0,1,0,1,1,1,5,2023,{1F74E412-A152-4292-95F7-D1D69BF22A3B},,,,
59,06037531800,Los Angeles,Unincorporated,4809,1,1,1,1,1,0,0,1,1,5,2023,{E119C571-DFB6-4F78-B474-952E01E7076A},,,,
60,06037209820,Los Angeles,Los Angeles,2741,1,1,1,1,1,0,1,1,1,6,2023,{1BD51FF7-26B5-428D-BBBC-2B3DE3DBB5B5},,,,
61,06037211420,Los Angeles,Los Angeles,3451,1,1,0,0,1,0,1,1,0,3,2023,{FBFA0EA6-6321-4798-AF2B-D170A5B9577F},,,,
